moderator_id,chat_sessions_moderated,avg_response_time,user_satisfaction_score
06069322-b9af-488c-8ee5-451195abfab3,283,16.18,2
a5eb17c5-6ca1-4f5e-9254-b97785b0680f,28,6.52,2
9132caa1-bb9e-4a75-9efe-663693ee6180,480,12.15,4
a2437979-fdd0-4b73-8fa9-8f05cfee0ebb,320,8.45,5
222a3d85-66c0-4992-99d2-9b13dc94b9fe,367,13.82,2
8da56bb7-e9f4-4617-963c-6ea18d9c900f,383,6.33,2
4acafd75-dcdb-49ca-a2e4-50341a1750bf,475,5.45,3
3cdba36a-03ce-4f77-8195-83a39fe1470a,163,18.53,3
99415163-e4a7-44f5-82e5-ebcc6d19ef87,399,3.83,2
cb260e80-19a6-4ae3-8ad4-7a1334e2269d,269,11.11,2
f4505ece-4bdf-4109-b1c6-018271834852,117,5.98,5
5aa83f15-f8fb-4be9-b0d2-271cc5dee961,380,2.7,2
e7b0cf47-7021-4f5b-86b8-e18843844ab5,294,2.65,2
1292e923-678f-49ea-9222-82dbe6bc61c2,68,5.15,2
e8c8944b-a38b-4814-b585-525bde0df37e,134,17.6,3
fbb646a1-d8a1-4e20-81d9-d0a921cfbf64,363,7.08,2
68a2c535-e858-4578-82bf-479f5e50b18a,282,19.11,5
40f605de-7389-4a5e-ae61-8814898679df,116,12.47,2
48d83eeb-1a3f-446e-afaf-071d837da155,308,9.86,5
12b59496-51e9-4959-a163-93af46ba2280,254,12.44,4
0b5b21c1-9399-4205-b595-3645105e6a87,345,11.3,5
df47acaf-2bf3-4bdf-b50f-ba99b8d2fa89,459,15.66,5
d32e4b22-fdd1-4a8a-a667-7c4bc226b18f,427,7.08,4
5c15fc91-8e31-4347-b717-14a4177cbff1,256,8.35,2
51a46f97-0edb-42f7-bab4-15d0a3b80067,17,18.09,2
fe3ca48f-5c43-45ca-b687-46586ac59cc4,150,19.04,4
f15e58af-4816-4274-af50-d83c52b00c09,371,18.07,5
f9df2ca7-5c3b-49fe-aef7-564e55f54aca,17,9.55,2
